date,dayl(s),prcp(mm/day),srad(W/m2),swe(mm),tmax(C),tmin(C),vp(Pa),QObs(mm/d)
1980-01-01,36288.0,0.0,209.26,0.0,12.12,3.94,801.82,0.11970406098343184
1980-01-02,36288.0,0.0,326.42,0.0,13.91,-1.5,560.0,0.11340384724746176
1980-01-03,36288.0,0.0,355.2,0.0,18.0,-1.5,560.0,0.10552858007749913
1980-01-04,36288.72,9.55,246.51,0.0,18.51,2.49,720.0,0.1039535266435066
1980-01-05,36525.3,1.04,295.26,0.0,15.35,1.9,711.64,0.11812900754943931
1980-01-06,36633.58,0.0,320.3,0.0,11.44,-2.83,493.65,0.11340384724746176
1980-01-07,36633.58,0.0,346.6,0.0,15.01,-2.15,520.0,0.11025374037947669
1980-01-08,36633.58,0.0,313.61,0.0,19.5,5.0,880.0,0.10552858007749913
1980-01-09,36633.58,1.0,252.89,0.0,21.14,10.47,1277.55,0.1039535266435066
1980-01-10,36633.58,0.0,232.21,0.0,20.48,11.0,1320.0,0.1039535266435066
1980-01-11,36633.58,4.15,135.42,0.0,19.0,12.0,1400.0,0.1039535266435066
1980-01-12,36633.58,4.89,134.8,0.0,20.5,13.46,1552.92,0.10710363351149164
1980-01-13,36870.91,3.27,183.13,0.0,17.73,8.02,1081.56,0.10552858007749913
1980-01-14,36979.21,9.08,108.91,0.0,12.5,7.25,1019.97,0.11340384724746176
1980-01-15,36979.21,0.0,291.2,0.0,16.5,4.5,840.0,0.12915438158738696
1980-01-16,36979.21,0.0,348.81,0.0,21.0,4.0,800.0,0.12915438158738696
1980-01-17,36979.21,0.0,307.2,0.0,22.5,9.0,1160.0,0.12442922128540944
1980-01-18,36979.21,2.0,229.66,0.0,22.69,13.51,1560.54,0.12915438158738696
1980-01-19,37216.5,0.0,327.89,0.0,23.48,8.5,1120.0,0.12600427471940193
1980-01-20,37324.78,0.0,372.04,0.0,23.0,3.55,800.0,0.11812900754943931
1980-01-21,37324.78,0.0,371.26,0.0,23.5,4.49,838.99,0.10710363351149164
1980-01-22,37324.78,0.0,339.2,0.0,23.5,8.0,1080.0,0.10237847320951407
1980-01-23,37324.78,22.66,222.18,0.0,22.0,9.89,1231.39,0.1496300762292898
1980-01-24,37562.11,0.0,374.3,0.0,15.0,-2.0,520.0,0.17325587773917767
1980-01-25,37670.41,0.0,335.26,0.0,15.5,1.85,707.67,0.17325587773917767
1980-01-26,37670.41,21.84,177.01,0.0,17.36,8.79,1143.43,0.34651175547835533
1980-01-27,37670.41,25.95,105.6,0.0,18.0,13.0,1480.0,0.9450320603955145
1980-01-28,37670.41,0.0,278.34,0.0,19.26,8.76,1141.06,0.8190277856761126
1980-01-29,38015.99,0.0,342.53,0.0,17.0,3.24,779.4,0.7402751139764864
1980-01-30,38015.99,0.0,370.54,0.0,20.5,4.29,822.98,0.6772729766167854
1980-01-31,38015.99,5.0,263.33,0.0,21.0,6.18,934.59,0.6300213735970097
1980-02-01,38015.99,0.0,384.41,0.0,13.18,-3.12,480.0,0.5985203049171592
1980-02-02,38357.51,0.0,346.28,0.0,8.27,-4.5,440.0,0.5355181675574583
1980-02-03,38361.6,0.0,345.69,0.0,9.0,-3.52,478.6,0.48826656453768247
1980-02-04,38361.6,0.0,393.6,0.0,11.0,-5.0,440.0,0.45676549585783205
1980-02-05,38361.6,0.0,403.17,0.0,13.0,-3.99,440.4,0.4095138928380563
1980-02-06,38707.2,1.0,367.44,0.0,14.46,0.5,640.0,0.393763358498131
1980-02-07,38707.2,0.0,390.63,0.0,13.5,-1.94,524.75,0.3622622898182806
1980-02-08,38707.2,0.0,396.44,0.0,13.68,-2.18,520.0,0.3307612211384301
1980-02-09,38707.2,0.0,410.2,0.0,19.92,1.83,706.52,0.31501068679850486
1980-02-10,39052.78,14.25,283.68,0.0,21.5,5.83,920.0,0.3622622898182806
1980-02-11,39052.78,0.0,249.03,0.0,12.29,3.98,800.0,0.37801282415820575
1980-02-12,39052.78,0.0,299.43,0.0,13.9,3.55,800.0,0.34651175547835533
1980-02-13,39146.42,0.0,265.68,0.0,14.0,5.0,880.0,0.3307612211384301
1980-02-14,39398.4,0.0,266.08,0.0,16.0,7.0,1000.0,0.2992601524585796
1980-02-15,39398.4,0.0,338.99,0.0,20.39,8.06,1084.54,0.2992601524585796
1980-02-16,39398.4,0.0,374.46,0.0,23.0,8.42,1113.26,0.2835096181186543
1980-02-17,39744.0,5.77,313.58,0.0,18.0,1.0,640.0,0.2835096181186543
1980-02-18,39744.0,0.0,398.78,0.0,13.96,-0.99,560.92,0.26775908377872915
1980-02-19,39744.0,0.0,407.51,0.0,17.7,2.05,720.0,0.25200854943880385
1980-02-20,39981.31,0.0,387.36,0.0,21.0,6.49,959.55,0.23625801509887862
1980-02-21,40089.6,0.0,314.09,0.0,23.74,12.85,1467.87,0.22050748075895338
1980-02-22,40089.6,0.0,361.32,0.0,25.39,12.08,1406.52,0.20475694641902814
1980-02-23,40089.6,0.0,305.95,0.0,26.0,15.42,1753.97,0.20475694641902814
1980-02-24,40435.2,15.36,204.8,0.0,25.0,16.0,1800.0,0.3622622898182806
1980-02-25,40435.2,30.1,136.45,0.0,20.5,15.01,1720.42,0.9292815260555892
1980-02-26,40435.2,0.0,462.54,0.0,20.01,1.14,651.15,0.8347783200160378
1980-02-27,40780.81,0.0,452.09,0.0,14.05,-3.0,480.0,0.6930235109567107
1980-02-28,40780.81,0.0,457.75,0.0,18.96,0.92,640.18,0.6300213735970097
1980-02-29,40780.81,0.0,420.18,0.0,22.5,6.9,992.16,0.582769770577234
1980-03-01,41126.4,1.65,339.15,0.0,22.5,9.79,1223.25,0.5355181675574583
1980-03-02,41126.4,6.62,353.18,0.0,16.71,-1.47,559.63,0.5355181675574583
1980-03-03,41126.4,0.0,417.17,0.0,6.56,-7.0,360.0,0.48826656453768247
1980-03-04,41363.71,0.0,489.33,0.0,14.46,-5.0,440.0,0.45676549585783205
1980-03-05,41472.0,0.0,459.21,0.0,20.33,2.95,755.61,0.44101496151790676
1980-03-06,41472.0,0.0,390.34,0.0,24.0,10.5,1280.0,0.42526442717798146
1980-03-07,41472.0,0.0,435.47,0.0,26.51,10.0,1240.0,0.393763358498131
1980-03-08,41817.59,0.0,368.67,0.0,26.89,14.19,1615.04,0.3622622898182806
1980-03-09,41817.59,44.59,181.23,0.0,23.94,16.5,1880.0,1.1025374037947668
1980-03-10,41817.59,45.1,132.56,0.0,21.55,16.5,1880.0,2.9138488528861703
1980-03-11,42163.19,23.18,296.81,0.0,24.5,11.81,1384.69,5.1819257978354045
1980-03-12,42163.19,0.0,387.32,0.0,25.5,13.0,1480.0,5.197676332175329
1980-03-13,42163.19,16.64,242.14,0.0,25.5,15.6,1767.65,4.740910836317498
1980-03-14,42508.79,0.0,477.25,0.0,25.57,8.0,1079.8,4.709409767637648
1980-03-15,42508.79,0.0,470.56,0.0,21.5,5.05,883.77,4.299895874799591
1980-03-16,42508.79,0.0,438.87,0.0,23.82,9.0,1160.0,3.8431303789417592
1980-03-17,42854.4,0.0,324.18,0.0,24.82,14.91,1705.7,3.5123691578033287
1980-03-18,42854.4,9.44,243.14,0.0,24.0,14.38,1630.02,3.5123691578033287
1980-03-19,42854.4,0.0,443.07,0.0,23.47,9.11,1168.88,3.4493670204436278
1980-03-20,43199.99,0.0,362.5,0.0,26.0,14.98,1716.34,3.417865951763777
1980-03-21,43199.99,1.55,296.7,0.0,25.99,17.2,1951.48,3.339113280064151
1980-03-22,43199.99,0.0,513.73,0.0,23.5,5.0,880.0,3.1186057993051977
1980-03-23,43545.58,0.0,528.52,0.0,24.69,4.5,840.0,2.8823477842063197
1980-03-24,43545.58,0.0,452.51,0.0,26.0,10.99,1319.56,2.677590837787291
1980-03-25,43545.58,0.0,381.11,0.0,26.41,14.55,1648.4,2.520085494388039
1980-03-26,43891.2,0.0,447.7,0.0,26.5,11.5,1360.0,2.346829616648861
1980-03-27,43891.2,0.0,374.27,0.0,24.45,13.2,1511.29,2.1893242732496083
1980-03-28,43891.2,0.0,317.87,0.0,24.47,15.34,1746.84,2.079070532870132
1980-03-29,44236.8,8.26,236.75,0.0,24.5,15.65,1771.84,2.1105716015499825
1980-03-30,44236.8,47.32,220.82,0.0,24.0,16.0,1800.0,3.024102593265646
1980-03-31,44236.8,0.0,446.11,0.0,25.5,12.0,1400.0,3.6541239668626564
1980-04-01,44582.38,0.0,419.01,0.0,24.5,12.5,1440.0,3.5596207608231047
1980-04-02,44582.38,10.7,313.85,0.0,23.0,13.0,1480.0,3.3706143487440015
1980-04-03,44582.38,52.27,239.96,0.0,23.49,15.28,1742.66,6.237211598610395
1980-04-04,44928.01,23.28,246.02,0.0,26.56,18.0,2080.0,7.434252208444714
1980-04-05,44928.01,7.77,361.98,0.0,23.2,9.5,1200.0,7.6862607578835185
